"Title","Default language","Default text","ja text","Variant status","Placeholder"
"Homepage::Ask the Community Asterisk Description","English","*Please note that information found on the Liferay Community site is not supported and should be implemented at your own discretion.","*Liferay Communityサイトの掲載情報はサポート範囲外です。実装は　お客様ご自身の責任となりますのでご注意ください。","Active","dc.homepage-ask_the_community_asterisk_description"
"Homepage::Ask the Community Description","English","Learn and share knowledge with community members.","世界のLiferayコミュニティで情報交換する","Active (Out of date)","dc.homepage-ask_the_community_description"
"Homepage::Browse by Product","English","Browse by Product","製品から探す","Active","dc.homepage-browse_by_product"
"Homepage::Contact Us Asterisk Description","English","*24/7 phone support is available for Platinum Level Critical issues only.","*24/7電話サポートは、プラチナの重要度1の場合のみ使用可能です。","Active","dc.homepage-contact_us_asterisk_description"
"Homepage::Contact Us Description","English","Speak with a Liferay Support team member by phone.","Liferayサポートに電話する","Active","dc.homepage-contact_us_description"
"Homepage::Events","English","Events","イベント","Active","dc.homepage-events"
"Homepage::Fix Pack Updates","English","Fix Pack Updates","フィックスパック情報","Active","dc.homepage-fix_pack_updates"
"Homepage::How can we help?","English","How can we help?","ヘルプセンターへようこそ","Active","dc.homepage-how_can_we_help"
"Homepage::Learn More","English","Learn More","詳しく見る","Active","dc.homepage-learn_more"
"Homepage::Liferay Global Services","English","Liferay Global Services","Liferayグローバルサービス","Active","dc.homepage-liferay_global_services"
"Homepage::Liferay Global Services Description","English","Gain extensive product and development knowledge from experts to maximize your ROI.","エキスパートから、費用対効果を最大化する、広範囲な製品と　開発の知識を習得","Active","dc.homepage-liferay_global_services_description"
"Homepage::Liferay University","English","Liferay University","Liferay University","Active","dc.homepage-liferay_university"
"Homepage::Liferay University Description","English","Train your team on the essentials of using Liferay with in-depth videos and hands-on exercises designed to mimic in-person training.","アクティビティを通して、Liferayの実用的知識を学べる　　　　オンラインクラス","Active","dc.homepage-liferay_university_description"
"Homepage::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.homepage-portal_5_2"
"Homepage::Product Releases","English","Product Releases","製品リリース","Active","dc.homepage-product_releases"
"Homepage::Search the Help Center","English","Search the Help Center","ヘルプセンターを検索","Active","dc.homepage-search_the_help_center"
"Homepage::Security Updates","English","Security Updates","セキュリティ情報","Active","dc.homepage-security_updates"
"Homepage::See More","English","See More","全て表示","Active","dc.homepage-see_more"
"Homepage::Still Need Help?","English","Still Need Help?","サポートが必要ですか？","Active","dc.homepage-still_need_help"
"Homepage::Submit a Ticket Description","English","Open a support case to report an issue and get help from a Liferay Support Team member.","チケットを作成し、Liferayサポート担当者に支援してもらう","Active","dc.homepage-submit_a_ticket_description"
"How Can We Help","English","How can we help?","ヘルプセンターへようこそ","Active","dc.how_can_we_help"
"Knowledge Base","English","Knowledge Base","ナレッジベース","Active","dc.knowledge_base"
"Known Issues","English","Known Issues","既知の問題","Active","dc.known_issues"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","問題が解決しない場合は、お問い合わせ","Active","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Long-Term Resolution::Bug Fix","English","Bug Fix","バグ修正","Active","dc.long-term_resolution-bug_fix"
"Long-Term Resolution::Developer Documentation","English","Developer Documentation","開発者資料","Active","dc.long-term_resolution-developer_documentation"
"Long-Term Resolution::Product Improvement","English","Product Improvement","製品改善","Active","dc.long-term_resolution-product_improvement"
"Long-Term Resolution::User Documentation","English","User Documentation","ユーザー資料","Active","dc.long-term_resolution-user_documentation"
"Mega Menu::Account Support","English","Account Support","アカウントサポート","Active","dc.mega_menu-account_support"
"Mega Menu::Account Support Description","English","Learn more about designated contacts for your project","","","dc.mega_menu-account_support_description"
"Mega Menu::Activation Keys","English","Activation Keys","アクティベーション","Active","dc.mega_menu-activation_keys"
"Mega Menu::Activation Keys Description","English","Activate your environments to start a project","ご利用の環境を起動し、　プロジェクトを開始","Active","dc.mega_menu-activation_keys_description"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","Analytics Cloud","Active","dc.mega_menu-analytics_cloud"
"Mega Menu::Announcements","English","Announcements","アナウンスメント ","Active","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on products and system improvements","製品リリース、パッチ、　システム向上の最新情報","Active","dc.mega_menu-announcements_description"
"Mega Menu::Commerce","English","Commerce","Commerce","Active","dc.mega_menu-commerce"
"Mega Menu::Compatibility Matrix","English","Compatibility Matrix","互換性マトリクス","Active","dc.mega_menu-compatibility_matrix"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","Liferay製品のサポート　　されている設定","Active","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Contact Us","English","Contact Us","お問い合わせ","Active","dc.mega_menu-contact_us"
"Mega Menu::Documentation","English","Documentation","ドキュメンテーション","Active","dc.mega_menu-documentation"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","製品ガイド、参考資料、　チュートリアル","Active","dc.mega_menu-documentation_description"
"Mega Menu::Downloads","English","Downloads","ダウンロード","Active","dc.mega_menu-downloads"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","製品、サービスパック、Fix Pack、Security Fix","Active","dc.mega_menu-downloads_description"
"Mega Menu::DXP 7.0","English","DXP 7.0","DXP 7.0","Active","dc.mega_menu-dxp_7_0"
"Mega Menu::DXP 7.1","English","DXP 7.1","DXP 7.1","Active","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP Cloud","English","DXP Cloud","DXP Cloud","Active","dc.mega_menu-dxp_cloud"
"Mega Menu::Fix Delivery Method","English","Fix Delivery Method","フィックスの提供方法","Active","dc.mega_menu-fix_delivery_method"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","ソフトウェアアップデートの提供方法","Active","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","フィックスパックツール","Active","dc.mega_menu-fix_pack_tool"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","Liferay DXP Fix Packのリリースノートとハイライトを確認","Active","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","ナレッジベース ","Active","dc.mega_menu-knowledge_base"
"Mega Menu::Knowledge Base Description","English","Articles on recurring topics, issues, and themes","注目のトピック、事象、　テーマに関する記事","Active","dc.mega_menu-knowledge_base_description"
"Mega Menu::My Tickets","English","My Tickets","マイチケット","Active","dc.mega_menu-my_tickets"
"Mega Menu::Overview","English","Security Overview","セキュリティ概要","Active","dc.mega_menu-overview"
"Mega Menu::Overview Description","English","How Liferay approaches security","Liferayのセキュリティ対応に関する背景情報","Active (Out of date)","dc.mega_menu-overview_description"
"Mega Menu::Portal 5.2","English","Portal 5.2","Portal 5.2","Active","dc.mega_menu-portal_5_2"
"Mega Menu::Portal 6.0","English","Portal 6.0","Portal 6.0","Active","dc.mega_menu-portal_6_0"
"Mega Menu::Portal 6.1","English","Portal 6.1","Portal 6.1","Active","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.2","English","Portal 6.2","Portal 6.2","Active","dc.mega_menu-portal_6_2"
"Mega Menu::Products","English","Products","製品","Active","dc.mega_menu-products"
"Mega Menu::Project Details","English","Project Details","プロジェクトの詳細","Active","dc.mega_menu-project_details"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","セキュリティ事象報告","Active","dc.mega_menu-reporting_security_issues"
"Mega Menu::Reporting Security Issues Description","English","Process for reporting security vulnerabilities","Liferay製品のセキュリティ脆弱性の報告方法","Active (Out of date)","dc.mega_menu-reporting_security_issues_description"
"Mega Menu::Resources","English","Resources","リソース","Active","dc.mega_menu-resources"
"Mega Menu::Security","English","Security","セキュリティ","Active","dc.mega_menu-security"
"Mega Menu::Security Advisories","English","Security Advisories","セキュリティ対策","Active","dc.mega_menu-security_advisories"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","既知の脆弱性の情報および修正","Active","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security Policies","セキュリティポリシー","Active","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","報告されたセキュリティ　問題に関するポリシー","Active","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Service Levels","English","Service Levels","サービスレベル","Active","dc.mega_menu-service_levels"
"Mega Menu::Service Levels Description","English","Benefits included with each subscription level","サブスクリプションレベルに応じたサービスの概要","Active (Out of date)","dc.mega_menu-service_levels_description"
"Mega Menu::Service Life","English","Service Life","サービスライフ","Active","dc.mega_menu-service_life"
"Mega Menu::Service Life Description","English","End of life policies for Liferay products","Liferay製品のサービス終了ポリシー","Active","dc.mega_menu-service_life_description"
"Mega Menu::Submit a Ticket","English","Submit a Ticket","チケットを作成","Active","dc.mega_menu-submit_a_ticket"
"Mega Menu::Support","English","Support","サポート","Active","dc.mega_menu-support"
"Mega Menu::Support Coverage","English","Support Coverage","サポート範囲","Active","dc.mega_menu-support_coverage"
"Mega Menu::Support Coverage Description","English","Overview of Liferay's support policies","Liferayのサポートポリシー概要","Active","dc.mega_menu-support_coverage_description"
"Mega Menu::Support FAQs","English","Support FAQ","サポートFAQ","Active (Out of date)","dc.mega_menu-support_faqs"
"Mega Menu::Support FAQs Description","English","Answers to common support-related questions","サポート関連のよくある　お問い合わせ","Active","dc.mega_menu-support_faqs_description"
"Mega Menu_Announcements","English","Announcements","アナウンスメント","Active","dc.mega_menu_announcements"
"No Articles in Section","English","No Articles in Section","このセクションに記事はありません","Active","dc.no_articles_in_section"
"No Section in Category","English","No Section in Category","このカテゴリーにセクションはありません","Active","dc.no_section_in_category"
"Portal","English","Portal","Portal","Active","dc.portal"
"Products","English","Products","製品","Active","dc.products"
"Product Field::Liferay DXP","English","Liferay DXP","Liferay DXP","Active","dc.product_field-liferay_dxp"
"Product Field::Liferay Portal","English","Liferay Portal","Liferay Portal","Active","dc.product_field-liferay_portal"
"Product Field::Management Tools (LCS)","English","Management Tools (LCS)","管理ツール（LCS）","Active","dc.product_field-management_tools_lcs"
"Product Field::Mobile Device Detection","English","Mobile Device Detection","Mobile Device Detection","Active","dc.product_field-mobile_device_detection"
"Product Field::Mobile Experience","English","Mobile Experience","Mobile Experience","Active","dc.product_field-mobile_experience"
"Product Field::Productivity Tools (Sync)","English","Productivity Tools (Sync)","Productivity Tools (Sync)","Active","dc.product_field-productivity_tools_sync"
"Product Field::Social Office","English","Social Office","Social Office","Active","dc.product_field-social_office"
"Project Details","English","Project Details","プロジェクトの詳細","Active","dc.project_details"
"Quick Links","English","Quick Links","クイックリンク","Active","dc.quick_links"
"Related Sites","English","Related Sites","関連サイト","Active","dc.related_sites"
"Resources","English","Resources","リソース","Active","dc.resources"
"Section::Fix Pack Update","English","Fix Pack Update","フィックスパック情報","Active","dc.section-fix_pack_update"
"Section::General","English","General","一般","Active","dc.section-general"
"Section::How-to","English","How-to","ハウツー","Active","dc.section-how-to"
"Section::Not Supported","English","Not Supported","サポート範囲外","Active","dc.section-not_supported"
"Section::Product Release","English","Product Release","製品リリース","Active","dc.section-product_release"
"Section::Security Alert","English","Security Alert","セキュリティアラート","Active","dc.section-security_alert"
"Section::Supported","English","Supported","サポート範囲内","Active","dc.section-supported"
"Section::Support Policy","English","Support Policy","サポートポリシー","Active","dc.section-support_policy"
"Section::System Update","English","System Update","システムアップデート","Active","dc.section-system_update"
"Section::Troubleshooting","English","Troubleshooting","トラブルシューティング","Active","dc.section-troubleshooting"
"Security","English","Security","セキュリティ","Active","dc.security"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","申し訳ありません。お探しのリソースは見つかりません。","Active","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Still Need Help","English","Still Need Help?","サポートが必要ですか？","Active","dc.still_need_help"
"Sub-Status::Completed","English","Completed","完了","Active","dc.sub-status-completed"
"Sub-Status::Reproduced","English","Reproduced","再現済み","Active","dc.sub-status-reproduced"
"Sub-Status::Resolution Planning","English","Resolution Planning","解決策検討中","Active","dc.sub-status-resolution_planning"
"Sub-Status::Solution Proposed","English","Solution Proposed","解決策提案済み","Active","dc.sub-status-solution_proposed"
"Subject Ticket Field - Title","English","Subject","件名","Active","dc.subject_ticket_field_-_title"
"Submit a Ticket","English","Submit a Ticket","チケットを作成","Active","dc.submit_a_ticket"
"Support","English","Support","サポート","Active","dc.support"
"Support Information","English","Support Information","サポート情報","Active","dc.support_information"
"System Status::Completely shutdown","English","Completely shutdown","システムが完全に停止","Active","dc.system_status-completely_shutdown"
"System Status::Fully functional with observed errors","English","Fully functional with observed errors","正常に動作するが、エラーが発生している","Active","dc.system_status-fully_functional_with_observed_errors"
"System Status::Functioning with limited capabilities","English","Functioning with limited capabilities","機能するが、性能が限られている","Active","dc.system_status-functioning_with_limited_capabilities"
"System Status::General question about the product","English","General question about the product","製品に関する一般的な質問","Active","dc.system_status-general_question_about_the_product"
"System Status::Severely impacted or inoperable","English","Severely impacted or inoperable","制御不能または著しい影響を受けている","Active","dc.system_status-severely_impacted_or_inoperable"
"System Status::Unstable with periodic interruptions","English","Unstable with periodic interruptions","断続的な割り込みにより不安定","Active","dc.system_status-unstable_with_periodic_interruptions"
"Component::APIO Architect","English","APIO Architect","APIO Architect","Active","dc.ticket_view-apio_architect"
"Ticket View::Assignee","English","Assignee","担当者","Active","dc.ticket_view-assignee"
"Ticket View::Component (Commerce)","English","Component","コンポーネント","Active","dc.ticket_view-component_commerce"
"Ticket View::Component (DXP)","English","Component","コンポーネント","Active","dc.ticket_view-component_dxp"
"Ticket View::Component (Portal)","English","Component","コンポーネント","Active","dc.ticket_view-component_portal"
"Ticket View::Description","English","Description","詳細","Active","dc.ticket_view-description"
"Ticket View::Environment","English","Environment","環境","Active","dc.ticket_view-environment"
"Ticket View::File Attachment","English","Add large files over 20MB here","20MB以上のファイルはこちらに追加","Active","dc.ticket_view-file_attachment"
"Ticket View::Long-Term Resolution","English","Long-Term Resolution","長期的解決策","Active","dc.ticket_view-long-term_resolution"
"Ticket View::Priority","English","Priority","優先度","Active","dc.ticket_view-priority"
"Ticket View::Product","English","Product","製品","Active","dc.ticket_view-product"
"Ticket View::Sub-Status","English","Sub-Status","サブステータス","Active","dc.ticket_view-sub-status"
"Ticket View::Subject","English","Subject","件名","Active","dc.ticket_view-subject"
"Ticket View::System Stable","English","System Stable","システムステーブル","Active","dc.ticket_view-system_stable"
"Ticket View::System Status","English","System Status","システムステータス","Active","dc.ticket_view-system_status"
"View All","English","View All","全て表示","Active","dc.view_all"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","申し訳ありません。お客様のアカウントでは、サポートチケットを作成できません。","Active","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
