"Title","Default language","Default text","pt text","Variant status","Placeholder"
"5.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 5.2.","Conheça as configurações suportadas para o Liferay Portal 5.2.","Active","dc.5_2-compatibility_matrix_card_description"
"5.2::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 5.2.","Consulte o guia do administrador e os documentos técnicos do Liferay Portal 5.2.","Active","dc.5_2-documentation_card_description"
"5.2::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 5.2.","Faça o download dos Service Packs e dos Fix Packs arquivados do Liferay Portal 5.2.","Active","dc.5_2-downloads_card_description"
"5.2::Info Banner","English","Support for Liferay Portal 5.2 has ended.","O suporte do Liferay Portal 5.2 terminou.","Active","dc.5_2-info_banner"
"5.2::Page Heading","English","Liferay Portal 5.2","Liferay Portal 5.2","Active","dc.5_2-page_heading"
"6.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.0.","Conheça as configurações suportadas para o Liferay Portal 6.0.","Active","dc.6_0-compatibility_matrix_card_description"
"6.0::Documentation Card Description","English","Reference the admin guide and whitepapers for Liferay Portal 6.0.","Consulte o guia do administrador e os whitepapers para o Liferay Portal 6.0.","Active","dc.6_0-documentation_card_description"
"6.0::Downloads Card Description","English","Download the archived service packs and fix packs for Liferay Portal 6.0.","Faça o download dos Service Packs e Fix Packs arquivados para o Liferay Portal 6.0.","Active","dc.6_0-downloads_card_description"
"6.0::Info Banner","English","Support for Liferay Portal 6.0 has ended.","O suporte para o Liferay Portal 6.0 terminou.","Active","dc.6_0-info_banner"
"6.0::Page Heading","English","Liferay Portal 6.0","Liferay Portal 6.0","Active","dc.6_0-page_heading"
"6.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.1.","Aprenda a usar todos os recursos nativos do Liferay Portal 6.1.","Active","dc.6_1-admin_guide_card_description"
"6.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.1.","Conheça as configurações suportadas para o Liferay Portal 6.1.","Active","dc.6_1-compatibility_matrix_card_description"
"6.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.1 environments.","Aprenda como implantar, configurar, manter e monitorar seus ambientes do Liferay Portal 6.1.","Active","dc.6_1-deployment_guide_card_description"
"6.1::End of Life Banner","English","Support for Liferay Portal 6.1 has ended.	","O suporte para o Liferay Portal 6.1 terminou.	","Active","dc.6_1-end_of_life_banner"
"6.1::Info Banner","English","Liferay Portal 6.1 EE is now in the Limited Support Phase.","O Liferay Portal 6.1 EE está, agora, na fase de Suporte Limitado.","Active","dc.6_1-info_banner"
"6.1::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.1.","Baixe e instale a versão mais recente do Liferay Portal 6.1.","Active","dc.6_1-latest_release_card_description"
"6.1::Page Heading","English","Liferay Portal 6.1","Liferay Portal 6.1","Active","dc.6_1-page_heading"
"6.1::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.1 software updates.","Faça o download do patching tool para instalar as atualizações do Liferay Portal 6.1.","Active","dc.6_1-patching_tool_card_description"
"6.1::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.1.","Consulte a política sobre o fim do ciclo de vida do Liferay Portal 6.1.","Active","dc.6_1-service_life_card_description"
"6.1::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.1.","Acesse os Service Packs anteriores do Liferay Portal 6.1.","Active","dc.6_1-service_packs_archive_card_description"
"6.2::Activation Keys Card Description","English","Request a key for your workstation and production environments.","Solicite uma chave para o seu workstation local e seus ambientes de produção.","Active","dc.6_2-activation_keys_card_description"
"6.2::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay Portal 6.2.","Aprenda a usar todos os recursos nativos do Liferay Portal 6.2.","Active","dc.6_2-admin_guide_card_description"
"6.2::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay Portal 6.2.","Conheça as configurações suportadas para o Liferay Portal 6.2.","Active","dc.6_2-compatibility_matrix_card_description"
"6.2::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay Portal 6.2 environments.","Aprenda como implantar, configurar, manter e monitorar seus ambientes do Liferay Portal 6.2.","Active","dc.6_2-deployment_guide_card_description"
"6.2::Developer Studio Card","English","Developer Studio","Developer Studio","Active","dc.6_2-developer_studio_card"
"6.2::Developer Studio Card Description","English","An all-in-one, integrated development environment based on Eclipse.","Um ambiente de desenvolvimento integrado e multifuncional baseado no Eclipse.","Active","dc.6_2-developer_studio_card_description"
"6.2::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay Portal.","Saiba como o Suporte Liferay oferece pacotes de atualizações e correções de emergência para o Liferay Portal.","Active","dc.6_2-fix_delivery_method_card_description"
"6.2::Info","English","Info:","Info:","Active","dc.6_2-info"
"6.2::Info Banner","English","Liferay Portal 6.2 EE is now in the Limited Support Phase.","O Liferay Portal 6.2 EE está, agora, na fase de Suporte Limitado.","Active","dc.6_2-info_banner"
"6.2::Latest Release Card Description","English","Download and install the latest release of Liferay Portal 6.2.","Baixe e instale a versão mais recente do Liferay Portal 6.2.","Active","dc.6_2-latest_release_card_description"
"6.2::Liferay Connected Services Card Description","English","A cloud-based management solution for maintaining a Liferay Portal infrastructure. ","Uma solução de gerenciamento na nuvem para manter a infraestrutura de um Liferay Portal.","Active","dc.6_2-liferay_connected_services_card_description"
"6.2::Liferay Faces Card","English","Liferay Faces","Liferay Faces","Active","dc.6_2-liferay_faces_card"
"6.2::Liferay Faces Card Description","English","A project that provides support for the JavaServer™ Faces (JSF) standard within Liferay Portal.","Um projeto que fornece suporte para o padrão JavaServer ™ Faces (JSF) no Liferay Portal.","Active","dc.6_2-liferay_faces_card_description"
"6.2::Mobile SDK Card","English","Mobile SDK","Mobile SDK","Active","dc.6_2-mobile_sdk_card"
"6.2::Mobile SDK Card Description","English","A framework for building native mobile apps that integrate with your different Liferay Portal instances.","Um framework para a criação de mobile apps nativos que se integram com suas diferentes instâncias do Liferay Portal.","Active","dc.6_2-mobile_sdk_card_description"
"6.2::Other Products Tab","English","Other Products","Outros Produtos","Active","dc.6_2-other_products_tab"
"6.2::Page Heading","English","Liferay Portal 6.2","Liferay Portal 6.2","Active","dc.6_2-page_heading"
"6.2::Patching Tool Card Description","English","Download the patching tool to install Liferay Portal 6.2 software updates.","Faça o download do patching tool para instalar as atualizações do Liferay Portal 6.2.","Active","dc.6_2-patching_tool_card_description"
"6.2::Security Advisories Card Description","English","Learn more about known security vulnerabilities and fixes for Liferay Portal.","Saiba mais sobre vulnerabilidades de segurança conhecidas e correções para o Liferay Portal.","Active","dc.6_2-security_advisories_card_description"
"6.2::Service Life Card Description","English","Reference the end of life policy for Liferay Portal 6.2.","Consulte a política sobre o fim do ciclo de vida do Liferay Portal 6.2.","Active","dc.6_2-service_life_card_description"
"6.2::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay Portal 6.2.","Acesse os Service Packs anteriores do Liferay Portal 6.2.","Active","dc.6_2-service_packs_archive_card_description"
"6.2::Social Office Card","English","Social Office","Social Office","Active","dc.6_2-social_office_card"
"6.2::Social Office Card Description","English","A workspace solution that enhances the way you and your colleagues work together.","Uma solução de área de trabalho que aprimora a maneira como você e seus colegas trabalham juntos.","Active","dc.6_2-social_office_card_description"
"7.0::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.0.","Aprenda a usar todos os recursos nativos do Liferay DXP 7.0.","Active","dc.7_0-admin_guide_card_description"
"7.0::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.0.","Conheça as configurações suportadas para o Liferay DXP 7.0.","Active","dc.7_0-compatibility_matrix_card_description"
"7.0::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.0 environments.","Aprenda como implantar, configurar, manter e monitorar seus ambientes do Liferay DXP 7.0.","Active","dc.7_0-deployment_guide_card_description"
"7.0::Latest Release Card Description","English","Download and install the latest release of Liferay DXP 7.0.","Baixe e instale a versão mais recente do Liferay DXP 7.0.","Active","dc.7_0-latest_release_card_description"
"7.0::Page Heading","English","Liferay Digital Experience Platform 7.0","Liferay Digital Experience Platform 7.0","Active","dc.7_0-page_heading"
"7.0::Patching Tool Card Description","English","Download the patching tool to install Liferay DXP 7.0 software updates.","Faça o download do patching tool para instalar as atualizações do Liferay DXP 7.0.","Active","dc.7_0-patching_tool_card_description"
"7.0::Service Life Card Description","English","Reference the end of life policy for Liferay DXP 7.0.","Consulte a política sobre o fim do ciclo de vida do Liferay DXP 7.0.","Active","dc.7_0-service_life_card_description"
"7.0::Service Packs Archive Card Description","English","Access previous service pack releases for Liferay DXP 7.0.","Acesse os Service Packs anteriores do Liferay DXP 7.0.","Active","dc.7_0-service_packs_archive_card_description"
"7.0::Upgrading Card Description","English","Reference a collection of resources to assist you with upgrading to Liferay DXP 7.0.","Consulte uma coleção de recursos para ajudá-lo com o upgrade do Liferay DXP 7.0.","Active","dc.7_0-upgrading_card_description"
"7.1::Account Support Card Description","English","Learn more about designated contacts for your project.","Saiba mais sobre contatos designados para o seu projeto.","Active","dc.7_1-account_support_card_description"
"7.1::Activation Keys Card Description","English","Activate your Liferay DXP environments to get started on your project.","Ative os seus ambientes Liferay DXP para dar início ao seu projeto.","Active","dc.7_1-activation_keys_card_description"
"7.1::Admin Guide Card","English","Admin Guide","Guia de Administração","Active","dc.7_1-admin_guide_card"
"7.1::Admin Guide Card Description","English","Learn how to use all the out-of-the-box features in Liferay DXP 7.1.","Aprenda a usar todos os recursos nativos do Liferay DXP 7.1.","Active","dc.7_1-admin_guide_card_description"
"7.1::Admin Reference Card","English","Admin Reference","Referências para o Administrador","Active","dc.7_1-admin_reference_card"
"7.1::Admin Reference Card Description","English","Check Liferay definitions and configuration settings to customize your platform.","Verifique as definições e configurações do Liferay para customizar sua plataforma.","Active","dc.7_1-admin_reference_card_description"
"7.1::Announcements Card Description","English","Get the latest updates on new releases, patches, and system improvements.","Receba as atualizações mais recentes sobre novos lançamentos, patches e melhorias no sistema.","Active","dc.7_1-announcements_card_description"
"7.1::Compatibility Matrix Card Description","English","Learn about the supported configurations for Liferay DXP 7.1.","Conheça as configurações suportadas para o Liferay DXP 7.1.","Active","dc.7_1-compatibility_matrix_card_description"
"7.1::Components Tab","English","Components","Componentes","Active","dc.7_1-components_tab"
"7.1::Deployment Guide Card","English","Deployment Guide","Guia de Implantação","Active","dc.7_1-deployment_guide_card"
"7.1::Deployment Guide Card Description","English","Learn how to deploy, configure, maintain, and monitor your Liferay DXP 7.1 environments.","Aprenda como implantar, configurar, manter e monitorar seus ambientes do Liferay DXP 7.1.","Active","dc.7_1-deployment_guide_card_description"
"7.1::Developer Reference Card","English","Developer Reference","Referências para o Desenvolvedor","Active","dc.7_1-developer_reference_card"
"7.1::Developer Reference Card Description","English","Access APIs, build commands, project templates, sample projects, and more.","Acesse APIs, comandos de build, templates de projetos, exemplos de projeto e muito mais.","Active","dc.7_1-developer_reference_card_description"
"7.1::Developer Tools and Frameworks Card","English","Developer Tools and Frameworks","Developer Tools e Frameworks","Active","dc.7_1-developer_tools_and_frameworks_card"
"7.1::Developer Tools and Frameworks Card Description","English","A set of tools and frameworks built specifically for Liferay development.","Um conjunto de ferramentas e frameworks construídos especificamente para o desenvolvimento Liferay.","Active","dc.7_1-developer_tools_and_frameworks_card_description"
"7.1::Developer Tutorials Card","English","Developer Tutorials","Tutoriais para desenvolvedores","Active","dc.7_1-developer_tutorials_card"
"7.1::Developer Tutorials Card Description","English","Access tutorials on using Liferay's tools, building modules, developing portlets, and more.","Acesse tutoriais sobre como usar as ferramentas do Liferay, criar módulos, portlets e muito mais.","Active","dc.7_1-developer_tutorials_card_description"
"7.1::Fix Delivery Method Card Description","English","Learn how Liferay Support delivers maintenance and emergency updates for Liferay DXP.","Saiba como o Suporte Liferay oferece pacotes de atualizações e correções emergenciais para o Liferay DXP.","Active","dc.7_1-fix_delivery_method_card_description"
"7.1::Fix Packs Card","English","Fix Packs","Fix Packs","Active","dc.7_1-fix_packs_card"
"7.1::Fix Packs Card Description","English","Download and install the latest fix pack to ensure you are on the current code base.","Baixe e instale o Fix Pack mais recente para garantir que você esteja na base de código atual.","Active","dc.7_1-fix_packs_card_description"
"7.1::Help Topics Card","English","Help Topics","Tópicos de Ajuda","Active","dc.7_1-help_topics_card"
"7.1::Help Topics Card Description","English","Reference a collection of popular articles organized by topics.","Consulte uma lista de artigos populares organizados por tópicos.","Active","dc.7_1-help_topics_card_description"
"7.1::Knowledge Base Card Description","English","Access a library of articles on recurring topics, issues, and themes.","Acesse uma biblioteca de artigos sobre tópicos, problemas e temas recorrentes.","Active","dc.7_1-knowledge_base_card_description"
"7.1::Latest Release Card","English","Latest Release","Último Lançamento","Active","dc.7_1-latest_release_card"
